COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,AFG,EMRO,REPORTING,2023-01-29,12684950,11684678,32.585,30.016,10967235,28.173,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-22,11,,
Albania,ALB,EURO,REPORTING,2023-01-15,3047340,1344582,105.9,47.245,1273313,44.741,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5,385638,13.55
Algeria,DZA,AFRO,REPORTING,2022-09-04,15267442,7840131,34.817,17.879,6481186,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",2021-01-30,4,575651,1.313
American Samoa,ASM,WPRO,REPORTING,2022-09-26,111316,44671,201.67,80.93,42547,77.082,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-21,3,24160,43.77
Andorra,AND,EURO,REPORTING,2022-12-18,156242,57901,202.2,76.009,53489,70.217,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-20,3,43020,56.474
Angola,AGO,AFRO,REPORTING,2023-01-01,23893345,15079129,72.699,45.88,8306664,25.274,SII - Covishield,2021-03-10,1,1526098,4.643
Anguilla,AIA,AMRO,REPORTING,2023-01-27,24474,10853,163.138,72.344,10377,69.171,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-02-05,2,3003,20.017
Antigua and Barbuda,ATG,AMRO,REPORTING,2023-01-27,136512,64290,139.399,65.65,62384,63.703,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,6,9838,10.046
Argentina,ARG,AMRO,REPORTING,2022-10-07,109652736,41324100,242.617,91.434,37840119,83.725,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,7,30810184,68.17
Armenia,ARM,EURO,REPORTING,2022-05-22,2150112,1129669,72.6,38.123,985807,33.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2021-06-16,8,40725,1.374
Aruba,ABW,AMRO,REPORTING,2023-01-27,174271,90217,163.227,84.5,84054,78.727,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-02-17,2,,
Australia,AUS,WPRO,REPORTING,2023-01-04,64549484,22235240,253.136,87.197,21655300,84.923,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-21,5,14328433,56.19
Austria,AUT,EURO,REPORTING,2023-01-22,20353215,6897936,228.7,77.604,6680013,75.047,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,Unknown Vaccine,Valneva - VLA2001",2020-12-30,10,5401049,60.679
Azerbaijan,AZE,EURO,REPORTING,2023-01-22,13800694,5424470,136.1,53.5,4880403,48.134,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-20,5,3495823,34.478
Bahamas,BHS,AMRO,REPORTING,2023-01-27,364701,174147,92.742,44.285,165633,42.12,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-14,4,33585,8.54
Bahrain,BHR,EMRO,REPORTING,2022-12-21,3476633,1241174,204.319,72.943,1226796,72.098,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-11-04,11,1008663,59.278
Bangladesh,BGD,SEARO,REPORTING,2023-01-31,353046718,150980772,214.371,91.676,135405753,82.219,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-27,8,66660193,40.476
Barbados,BRB,AMRO,REPORTING,2023-01-27,381013,163833,132.584,57.01,155010,53.94,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-08,5,62170,21.634
Belarus,BLR,EURO,REPORTING,2023-01-22,18871846,6527591,199.7,69.08,6410184,67.838,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",2021-02-03,4,5604725,59.314
Belgium,BEL,EURO,REPORTING,2023-01-22,29101394,9253720,252.6,80.31,9157461,79.475,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,7242110,62.852
Belize,BLZ,AMRO,REPORTING,2023-01-27,502020,251881,126.254,63.346,221297,55.654,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,5,51150,12.864
Benin,BEN,AFRO,REPORTING,2022-12-18,4232541,3697190,34.913,30.497,2742837,22.625,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-29,5,,
Bermuda,BMU,AMRO,REPORTING,2023-01-27,132042,48554,212.037,77.97,47657,76.529,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-11,3,31829,51.112
Bhutan,BTN,SEARO,REPORTING,2022-10-30,2011426,699116,260.68,90.605,677669,87.826,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-27,5,634641,82.249
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2023-01-27,15709097,7457471,134.576,63.886,6260044,53.628,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-30,7,2399407,20.555
Bonaire,XAA,AMRO,REPORTING,2023-01-27,41537,17460,198.599,83.481,15919,76.113,,,,8158,39.005
"Bonaire, Sint Eustatius and Saba",BES,AMRO,OWID,2021-09-01,35845,19109,137.934,73.533,16736,64.401,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2,,
Bosnia and Herzegovina,BIH,EURO,REPORTING,2022-01-29,1924950,943394,58.7,28.755,846080,25.789,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4,,
Botswana,BWA,AFRO,REPORTING,2023-01-01,3121142,1691984,132.723,71.95,1427883,60.719,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-26,6,502795,21.381
Brazil,BRA,AMRO,REPORTING,2023-01-27,500646783,186446714,235.533,87.715,169338460,79.666,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-17,5,108445010,51.019
British Virgin Islands,VGB,AMRO,REPORTING,2023-01-27,41453,19466,137.094,64.378,18261,60.393,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",2021-02-11,2,3726,12.323
Brunei Darussalam,BRN,WPRO,REPORTING,2023-01-13,1287323,450788,294.259,103.042,446323,102.022,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-04-03,5,339711,77.652
Bulgaria,BGR,EURO,REPORTING,2023-01-22,4611212,2106111,66.3,30.297,2077791,29.89,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,829770,11.937
Burkina Faso,BFA,AFRO,REPORTING,2022-11-27,5117982,4366726,24.484,20.89,3335753,15.958,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-06-02,3,,
Burundi,BDI,AFRO,REPORTING,2023-01-15,32265,31292,0.271,0.263,30699,0.258,Beijing CNBG - BBIBP-CorV,2021-10-18,1,287,0.002
Cabo Verde,CPV,AFRO,REPORTING,2022-09-25,859940,356734,154.669,64.162,308720,55.526,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-18,4,749,0.135
Cambodia,KHM,WPRO,REPORTING,2023-01-20,45612652,15254468,272.82,91.241,14620423,87.448,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-10,7,10477144,62.666
Cameroon,CMR,AFRO,REPORTING,2023-01-15,4251876,3666816,16.017,13.813,3323604,12.52,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-04-12,4,484663,1.826
Canada,CAN,AMRO,REPORTING,2023-01-27,93251186,32638385,247.074,86.477,31284255,82.889,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-14,5,19701200,52.199
Cayman Islands,CYM,AMRO,REPORTING,2023-01-27,150816,61859,229.483,94.125,60589,92.193,Pfizer BioNTech - Comirnaty,2021-01-15,1,24064,36.616
Central African Republic,CAF,AFRO,REPORTING,2023-01-15,2457192,2252721,50.876,46.642,2089053,43.254,"Bharat - Covaxin,SII - Covishield",2021-03-19,2,214090,4.433
Chad,TCD,AFRO,REPORTING,2023-01-15,6347672,6208632,38.644,37.798,6081324,37.023,Beijing CNBG - BBIBP-CorV,2021-06-04,1,1935632,11.784
Chile,CHL,AMRO,REPORTING,2023-01-27,64363040,18086318,336.694,94.613,17698313,92.583,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-21,5,15718193,82.224
China,CHN,WPRO,REPORTING,2022-11-29,3465113661,1307511577,235.516,88.869,1277356924,86.819,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2020-07-22,8,804850776,54.704
Colombia,COL,AMRO,REPORTING,2023-01-27,90210929,42959468,177.291,84.428,36948604,72.615,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,5,14675916,28.843
Comoros,COM,AFRO,REPORTING,2022-10-02,835021,438825,96.023,50.463,397080,45.662,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",2021-04-10,3,,
Congo,COG,AFRO,REPORTING,2022-07-31,833210,695760,15.1,12.609,654119,11.854,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",2021-03-23,4,,
Cook Islands,COK,WPRO,REPORTING,2022-05-10,39612,15020,225.529,85.516,14676,83.557,Pfizer BioNTech - Comirnaty,2021-05-17,1,9916,56.456
Costa Rica,CRI,AMRO,REPORTING,2023-01-27,12778229,4605172,250.843,90.402,4314443,84.695,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-24,3,2832234,55.598
Côte d’Ivoire,CIV,AFRO,REPORTING,2023-01-15,24277616,13388664,92.036,50.756,11966195,45.364,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,5,2554059,9.682
Croatia,HRV,EURO,REPORTING,2022-10-23,5357755,2317461,132,57.141,2244181,55.3,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,6,954875,23.53
Cuba,CUB,AMRO,REPORTING,2023-01-27,38000988,10723618,335.502,94.676,10006374,88.344,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",,3,8687355,76.699
Curaçao,CUW,AMRO,REPORTING,2023-01-27,256029,108601,156.027,66.183,99955,60.914,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-24,3,47473,28.931
Cyprus,CYP,EURO,REPORTING,2023-01-22,1855161,668623,208.9,75.295,655928,73.865,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,5,486947,54.836
Czechia,CZE,EURO,REPORTING,2023-01-22,18596005,6970704,173.9,65.184,6886211,64.394,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",2020-12-23,7,4361977,40.789
Democratic Republic of the Congo,COD,AFRO,REPORTING,2022-12-11,9988117,9145982,11.152,10.212,6848697,7.647,SII - Covishield,2021-04-19,1,,
Denmark,DNK,EURO,REPORTING,2023-01-22,15120340,4799671,259.7,82.429,4786565,82.204,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-16,5,3669848,63.026
Djibouti,DJI,EMRO,REPORTING,2022-12-07,338051,317428,34.216,32.128,297060,30.067,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-15,11,,
Dominica,DMA,AMRO,REPORTING,2023-01-27,67647,32995,93.966,45.832,30659,42.587,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-12,5,3993,5.547
Dominican Republic,DOM,AMRO,REPORTING,2023-01-27,15906133,7304873,146.629,67.339,6076994,56.02,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2021-02-16,3,2524266,23.27
Ecuador,ECU,AMRO,REPORTING,2023-01-27,39424111,15324257,223.454,86.857,14226313,80.634,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-20,4,7683647,43.551
